"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"28",17,9,10,14,18,14,17,17,19,14,21,11,21,14,16,15,18,13,17,18,18,22,22,15,22,15,20,13,18,21,11,13,20,18,13,18,18,21,14,15,20,16,20,19,13,26,17,17,20,21,19,19,18,11,18,18,20,12,16,17,16,19,15,12,17,16,18,12,14,21,18,18,20,19,19,20,21,12,15,18,19,17,11,20,14,13,17,11,16,18,16,18,14,19,14,13,10,15,8,17
"29",17,10,9,12,19,14,17,16,19,14,22,12,22,15,15,16,19,12,16,19,17,22,23,16,22,14,19,13,18,20,12,14,20,18,12,18,18,20,13,16,19,16,20,20,12,26,17,16,20,21,20,19,19,10,19,18,21,13,17,16,17,18,13,11,17,17,18,12,14,19,19,18,20,20,19,20,20,12,15,17,20,18,11,22,15,14,16,11,16,18,14,18,15,21,14,13,10,15,8,18
"30",17,10,10,11,19,14,17,16,18,13,21,12,20,15,15,15,18,12,19,18,17,23,24,16,22,13,19,13,17,21,13,15,21,16,13,16,20,20,13,16,19,16,19,20,12,25,17,17,20,21,19,19,19,10,18,18,22,12,17,15,14,17,13,10,15,17,16,12,14,21,19,17,21,19,19,20,20,14,14,18,20,18,11,21,15,15,16,11,15,19,14,18,14,20,13,13,10,14,8,16
"31",18,10,12,11,19,15,18,16,18,13,22,12,20,14,15,14,18,12,19,17,16,20,24,16,22,14,19,14,17,20,13,16,21,14,13,17,20,18,15,16,20,17,19,19,12,25,17,19,18,22,19,20,20,10,17,18,22,13,16,15,12,18,14,11,15,17,16,12,16,21,19,17,20,19,16,21,20,14,15,20,20,17,11,20,16,15,16,11,14,18,14,19,14,21,12,12,11,16,8,17
"32",17,11,13,11,20,14,18,17,18,14,21,13,18,15,15,14,18,15,18,17,16,19,22,15,22,14,17,14,17,21,14,16,20,14,13,17,19,20,14,16,20,17,19,20,12,25,16,19,17,22,19,20,20,9,16,18,22,13,17,16,13,19,14,11,15,18,16,12,15,19,20,15,19,18,17,21,20,14,15,20,20,19,11,19,16,14,14,11,15,18,15,16,13,23,12,13,11,16,9,16
"33",17,12,13,11,20,14,16,16,18,13,22,13,21,16,15,15,15,15,17,18,17,20,21,15,22,14,16,14,17,21,13,16,19,13,15,18,20,19,14,15,19,16,20,23,12,25,16,20,17,24,18,21,19,8,16,18,21,13,16,15,13,18,14,11,15,19,16,12,15,21,21,14,19,16,19,21,20,14,15,19,22,18,11,19,16,13,15,11,15,18,14,17,13,22,12,14,13,15,9,16
"34",17,11,11,11,20,14,14,14,18,11,21,14,21,18,15,18,17,15,18,18,19,20,22,14,21,15,17,14,17,22,12,16,17,12,15,20,20,19,14,13,20,16,20,24,12,24,15,20,16,26,18,20,20,8,17,18,22,12,16,15,15,18,13,11,15,19,15,14,15,21,20,12,19,15,17,21,18,14,15,18,20,22,11,21,13,14,13,10,16,18,15,17,14,22,12,14,14,15,9,16
"35",17,13,12,10,19,14,14,14,19,11,22,12,21,18,15,17,18,15,19,18,19,20,20,15,21,15,17,13,17,21,12,17,18,12,16,20,18,19,14,14,19,15,18,23,12,24,15,19,16,25,19,20,20,9,18,17,21,11,14,18,15,17,15,10,14,18,16,14,14,20,21,10,20,14,18,21,16,13,16,18,18,21,11,21,14,14,13,9,16,18,16,18,14,21,13,14,12,15,8,16
"36",18,13,12,10,19,13,14,14,18,11,24,12,21,19,15,19,18,18,20,19,18,18,20,16,21,16,17,14,18,21,12,17,17,13,16,21,17,18,14,14,20,14,19,21,13,22,14,19,16,26,19,20,20,9,18,17,22,12,14,18,15,16,14,10,14,19,14,15,14,21,20,11,20,14,18,22,17,12,16,17,19,20,10,23,15,15,13,9,16,19,14,19,15,22,14,15,13,17,8,16
"37",18,13,11,10,17,14,14,14,18,11,24,12,22,20,16,19,20,18,19,18,18,17,21,16,18,16,20,15,18,21,13,18,17,13,16,20,18,17,15,15,18,15,18,21,11,24,13,18,14,26,20,21,20,10,18,19,21,13,13,18,15,16,14,10,14,19,14,14,15,20,20,11,20,15,18,22,17,12,15,17,18,20,10,24,16,16,13,9,15,20,13,20,16,21,16,15,13,16,8,16
"38",19,13,11,11,18,13,14,15,19,12,23,12,23,19,18,19,19,18,18,18,19,18,22,18,18,15,20,15,17,25,13,20,18,12,17,20,20,18,15,13,19,15,18,22,11,26,12,15,14,25,21,21,20,9,18,17,21,13,14,20,15,15,15,10,16,18,14,14,17,20,22,12,20,13,21,23,16,12,15,18,18,20,10,26,17,15,15,9,15,19,14,21,16,21,17,14,13,17,8,16
"39",19,13,9,12,19,13,15,15,18,12,22,12,22,19,19,20,19,18,18,18,19,17,21,18,19,14,20,14,16,25,13,21,18,13,17,21,21,18,15,12,19,16,19,22,11,25,13,15,15,21,21,21,19,12,18,17,22,13,13,21,13,16,15,10,18,18,14,17,17,21,22,10,21,13,22,23,15,11,15,19,17,18,10,26,17,15,14,10,15,19,15,21,16,21,19,14,14,17,7,16
"40",17,12,9,15,18,13,15,15,18,13,21,12,22,19,19,23,20,17,18,17,19,17,22,17,19,15,21,14,14,25,13,20,17,13,16,22,19,17,16,13,19,17,19,24,12,26,15,16,17,23,21,20,18,13,21,19,21,12,13,19,13,16,15,10,16,18,14,17,17,21,21,10,18,14,22,24,15,11,16,20,16,18,11,25,17,13,14,12,16,21,15,19,16,18,20,14,13,17,9,17
"41",17,12,9,15,18,12,14,15,18,16,21,12,21,20,17,23,20,17,17,18,18,17,22,17,19,13,21,12,14,26,12,19,15,14,15,24,19,17,15,14,19,17,20,24,13,25,15,15,18,23,21,19,19,14,21,19,20,12,13,19,13,15,14,8,17,18,13,16,16,19,21,11,18,14,23,24,16,11,17,18,16,19,12,25,17,13,14,13,16,21,15,19,16,16,18,14,12,15,11,17
"42",17,12,10,14,16,12,14,15,17,19,23,13,21,20,17,23,20,18,17,16,18,16,22,17,19,13,21,12,16,28,12,18,15,12,14,22,19,16,15,14,21,16,20,24,13,25,15,15,17,21,21,21,19,14,21,18,19,12,14,18,13,15,13,7,18,16,13,17,16,20,22,10,18,17,24,22,15,11,18,19,17,19,12,25,17,13,15,13,16,19,14,18,16,17,18,19,12,14,13,17
