"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",12,12,3,18,19,19,20,11,19,8,14,11,16,16,13,16,16,18,17,10,16,20,20,14,16,25,11,19,19,14,19,11,20,13,20,19,19,15,14,17,24,17,16,14,15,18,23,21,13,17,23,16,18,12,16,17,25,22,17,20,13,24,16,12,16,15,21,12,18,12,17,13,17,16,16,19,16,22,12,15,13,18,19,22,12,7,8,17,14,23,15,20,18,18,18,15,13,15,20,25
"2",12,14,4,20,18,18,20,11,18,8,14,12,16,17,15,16,16,18,17,10,15,20,17,15,16,23,12,20,18,15,19,10,19,13,20,20,19,15,15,17,25,17,17,14,16,17,22,21,13,15,23,15,21,12,16,16,23,23,17,20,14,23,16,11,17,15,22,12,17,12,17,13,17,16,16,19,17,23,12,15,13,18,19,22,12,6,8,16,15,23,16,22,19,19,18,15,13,16,21,25
"3",12,15,6,19,18,18,19,10,17,7,14,13,14,17,16,17,16,19,17,10,15,16,17,15,16,24,13,19,17,15,20,11,17,13,19,19,20,17,15,16,22,17,16,15,17,17,22,22,12,13,24,16,22,12,16,15,19,23,17,20,15,23,16,13,17,14,23,13,20,12,18,13,16,18,16,19,15,22,13,14,12,17,18,21,13,6,10,14,14,24,16,22,19,22,18,15,13,16,21,22
"4",15,15,7,16,17,18,18,10,17,8,16,12,14,17,17,18,17,19,14,9,15,16,16,15,19,24,12,19,18,16,20,11,17,13,19,19,21,17,16,15,22,19,16,14,17,17,20,24,12,12,24,16,23,13,17,15,20,23,16,19,17,21,15,13,18,15,24,14,19,13,18,12,16,20,15,19,19,22,11,13,12,18,15,20,14,7,10,14,13,24,18,23,18,19,16,15,13,13,21,21
"5",17,16,7,17,17,19,18,12,17,8,17,13,13,18,17,18,16,19,14,9,15,16,17,15,20,22,12,19,15,16,19,9,18,14,18,19,21,16,16,15,22,19,17,14,17,17,21,23,11,13,23,15,22,15,17,14,20,22,15,20,16,21,15,13,19,15,23,15,17,14,18,12,17,21,15,18,20,20,11,14,13,18,16,21,14,7,11,17,12,24,18,24,18,19,17,15,14,13,22,19
"6",17,16,6,17,17,18,19,12,16,9,17,13,13,18,16,17,15,18,14,9,14,14,17,15,19,21,12,19,16,14,18,10,18,14,17,19,21,15,17,16,22,18,17,14,17,17,21,22,12,14,23,15,21,16,18,14,20,24,14,20,16,21,14,13,21,15,20,17,17,14,16,12,17,21,16,17,21,20,13,14,13,19,16,21,15,7,10,17,13,23,18,23,19,17,17,15,15,12,23,18
"7",17,14,7,20,17,18,18,12,15,9,17,14,13,18,16,17,17,19,14,9,16,13,17,15,18,20,12,19,16,16,18,9,17,15,16,21,21,16,17,15,22,18,17,16,15,17,23,22,12,15,21,15,22,17,18,14,22,23,14,18,18,21,14,13,22,16,19,17,17,15,14,11,16,22,16,16,22,22,12,14,14,20,16,21,15,7,9,16,13,20,18,23,18,16,18,16,16,10,23,18
"8",17,14,9,21,17,20,18,12,13,9,18,16,15,18,16,17,17,19,15,9,17,13,15,15,17,21,13,17,15,16,18,9,17,15,16,21,22,15,17,14,22,20,18,17,16,16,21,23,12,15,21,16,21,17,18,12,23,22,14,17,17,23,14,13,22,15,18,17,17,17,15,11,15,23,16,16,22,20,12,13,14,20,16,21,15,6,10,15,12,21,18,23,17,16,18,16,17,10,24,16
"9",17,14,10,20,16,18,17,12,14,10,19,17,16,19,15,16,16,18,15,10,16,13,13,15,16,22,14,17,14,17,19,9,18,16,16,21,21,16,16,14,22,21,18,17,15,16,22,23,11,17,21,16,21,16,17,11,24,22,14,17,17,23,15,12,20,15,18,16,17,16,15,9,15,23,14,19,20,19,12,14,14,20,16,21,16,6,10,14,13,21,18,22,17,15,17,16,17,11,24,15
"10",17,13,10,19,16,17,18,12,13,10,20,16,16,21,13,16,16,18,13,10,16,13,14,15,15,20,15,16,13,16,21,9,18,15,15,21,23,18,15,14,22,22,19,16,15,14,21,23,11,17,20,16,22,16,16,11,24,22,15,18,18,25,15,13,21,15,18,18,18,17,15,10,13,25,13,19,19,19,11,13,14,20,16,22,16,6,9,15,12,22,18,21,17,16,17,17,18,12,23,14
