"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",19,17,19,15,18,18,10,16,13,21,16,16,20,13,12,19,23,15,17,25,4,15,14,20,14,13,14,12,18,16,19,17,19,15,21,11,11,21,28,20,18,16,20,17,13,15,14,20,12,19,15,20,21,13,13,11,11,17,20,14,18,13,18,13,12,17,21,21,18,13,21,13,16,23,19,17,12,20,18,20,26,26,9,17,22,13,15,18,19,11,15,18,11,20,8,25,20,12,11,10
"2",17,16,17,17,20,18,11,16,13,17,18,16,23,14,12,20,22,15,17,26,4,16,14,20,15,14,15,12,19,17,17,16,18,15,22,11,11,21,28,20,16,17,21,18,13,16,12,22,12,19,16,22,22,13,14,9,11,16,20,13,19,13,18,13,11,16,21,20,18,13,20,15,16,23,18,17,15,20,16,19,27,26,10,17,21,11,15,18,17,11,15,17,12,20,8,26,19,13,10,10
"3",17,18,17,17,19,17,10,17,13,15,18,17,23,15,11,21,21,14,17,25,3,17,15,19,15,15,15,11,18,16,17,15,18,14,20,10,11,21,27,23,16,16,21,19,13,17,13,21,11,22,15,21,21,12,14,8,12,16,20,13,18,12,17,13,12,15,21,19,18,13,20,15,16,20,19,17,16,23,16,19,27,26,10,16,20,11,15,19,18,11,14,17,14,18,9,24,19,11,10,10
"4",16,19,18,17,20,16,10,17,14,15,18,17,21,14,11,21,22,14,17,26,4,17,15,19,15,15,15,11,18,15,17,15,18,14,20,10,11,18,23,25,15,17,20,21,13,16,14,21,10,22,16,21,20,12,14,7,12,16,20,11,18,12,17,13,13,15,23,19,18,14,19,15,16,20,19,18,15,23,17,19,27,26,10,16,18,11,15,20,17,9,15,17,12,19,9,24,21,10,11,10
"5",17,19,17,16,20,14,9,15,14,15,19,17,20,13,12,20,23,12,14,25,5,16,14,18,15,15,14,10,19,15,17,15,19,14,21,10,12,18,23,24,16,19,21,19,15,16,15,22,9,20,16,21,18,10,15,6,12,15,20,12,19,13,16,11,12,16,24,21,18,12,20,14,17,20,18,17,13,22,15,19,28,25,11,15,18,11,15,20,17,9,15,17,14,19,9,22,19,11,12,11
"6",17,18,18,16,21,14,8,15,15,12,19,17,20,13,12,21,23,11,15,23,5,16,14,19,15,14,15,10,20,15,16,16,19,13,21,10,11,18,23,23,16,19,22,19,15,13,14,21,10,18,17,23,16,11,15,5,14,14,19,12,18,14,16,11,12,17,23,21,17,12,20,15,18,20,17,17,13,21,15,19,29,26,11,16,19,12,13,20,17,9,15,17,14,19,9,21,19,11,12,12
"7",17,17,19,13,20,15,8,15,15,12,19,16,20,13,12,22,22,10,15,21,6,15,14,21,16,14,15,12,19,17,15,15,18,12,22,10,10,16,22,23,16,18,22,19,14,12,11,21,11,18,20,23,16,12,15,5,15,14,19,13,17,14,16,11,12,17,23,21,17,13,20,15,17,20,19,16,15,19,13,18,30,26,11,15,19,13,13,20,17,11,15,17,13,18,10,22,18,12,11,13
"8",16,18,22,13,20,14,9,16,16,12,16,17,19,13,12,21,22,10,16,21,6,15,14,19,16,13,16,12,19,16,15,16,17,12,22,11,11,15,19,23,16,18,22,18,13,13,10,21,11,18,20,22,16,12,15,4,16,13,18,13,17,15,16,12,11,16,22,23,16,12,19,15,17,21,20,15,15,18,13,20,30,23,10,15,20,13,13,21,17,12,15,17,13,18,10,22,17,12,11,13
"9",16,18,22,13,21,16,8,16,17,13,17,18,20,13,14,21,22,12,16,21,7,16,15,18,15,11,18,11,18,16,13,16,16,12,21,11,10,16,20,25,16,19,23,18,13,14,9,21,10,19,17,21,16,10,16,5,15,12,16,12,18,14,16,12,11,17,22,23,16,12,19,15,18,22,20,14,15,17,12,20,30,21,10,16,20,12,14,21,15,12,15,18,15,18,10,22,16,11,12,13
"10",13,18,23,12,20,15,7,17,17,13,17,18,20,13,13,19,22,11,15,20,8,16,14,17,15,12,19,11,17,15,12,17,15,12,20,12,11,16,20,25,15,19,22,18,12,13,8,20,10,20,17,23,17,10,17,4,16,13,16,11,18,12,17,14,13,18,21,25,14,12,19,14,17,23,19,14,15,17,12,20,30,22,11,16,20,12,15,21,15,13,15,18,15,18,11,23,17,10,12,13
