"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",19,7,14,15,12,14,13,19,20,22,12,20,10,12,13,10,26,13,24,22,21,14,14,16,20,16,9,17,16,18,15,21,9,14,20,23,15,22,24,12,16,14,12,21,18,19,7,19,15,19,17,16,17,11,24,16,11,11,17,14,9,10,20,15,18,19,11,13,16,20,12,15,13,15,15,18,16,19,17,15,23,21,15,22,14,26,19,10,17,19,22,22,22,17,18,20,18,18,14,9
"2",18,7,16,14,12,14,12,18,20,22,12,20,10,12,13,10,27,15,24,22,22,14,14,16,20,16,10,18,17,18,15,22,9,15,19,23,15,24,24,12,16,14,13,21,17,19,7,19,14,19,15,16,17,11,24,15,13,11,16,14,9,8,20,16,18,17,11,12,14,19,13,14,15,13,14,17,15,18,17,15,23,20,15,22,14,26,19,11,16,18,21,22,21,19,18,18,18,19,13,9
"3",18,7,15,14,12,14,11,18,21,22,12,21,10,12,15,9,28,14,23,23,22,13,15,17,21,15,10,19,18,18,13,22,8,14,18,23,16,23,25,12,16,14,14,19,17,20,8,19,14,19,14,14,15,11,24,15,14,12,17,13,9,8,20,15,18,18,11,12,14,19,13,14,15,13,14,16,16,19,17,15,25,18,14,22,12,27,17,11,15,18,21,21,21,19,18,17,18,17,14,9
"4",17,8,15,14,13,14,11,18,21,19,14,18,13,14,12,8,29,14,26,24,23,12,14,15,21,14,13,20,17,19,14,22,8,14,18,25,17,22,26,12,18,12,14,19,17,19,9,18,14,19,13,14,14,12,24,13,15,13,16,14,8,11,20,16,18,17,11,13,14,20,13,12,16,14,14,17,15,19,17,16,26,18,15,23,12,27,15,13,14,18,20,20,21,19,19,15,18,17,14,9
"5",17,9,13,14,12,14,12,17,20,19,13,17,12,14,12,8,29,15,26,24,23,10,14,13,21,13,13,20,16,20,15,24,7,15,18,26,15,22,27,14,17,13,13,21,17,17,9,18,15,20,14,12,15,13,22,14,13,13,16,15,10,12,20,14,16,17,11,12,14,21,12,13,16,13,13,16,15,18,17,16,22,18,17,22,12,29,14,13,15,18,19,19,17,19,19,15,17,17,15,8
"6",16,9,13,14,13,16,14,17,20,19,12,17,11,14,10,8,27,15,25,24,25,10,15,13,19,13,13,19,15,19,15,24,7,15,19,24,17,21,28,13,18,13,12,17,17,19,10,18,14,18,17,12,15,12,21,13,13,14,16,12,11,10,20,14,17,17,12,12,14,20,13,14,16,13,13,17,15,17,18,16,21,18,18,19,12,29,14,15,16,18,18,20,17,18,19,16,18,17,15,8
"7",16,10,15,14,13,15,13,17,20,19,12,17,10,13,10,8,26,13,25,24,25,11,14,13,17,13,13,19,14,19,14,25,7,15,20,24,17,21,26,13,18,13,11,18,19,20,10,17,13,17,17,12,15,12,19,13,12,14,15,13,11,10,17,14,17,16,14,13,15,19,15,15,16,14,13,17,15,17,18,17,20,20,20,18,11,31,12,17,19,18,18,20,17,18,18,16,18,17,14,8
"8",15,9,15,14,15,15,13,17,20,19,12,16,11,14,10,8,26,13,26,24,26,11,14,14,17,13,13,19,13,18,14,23,8,15,19,23,17,20,24,13,18,13,11,17,21,20,9,15,13,16,17,12,16,12,19,12,12,15,15,14,11,10,17,15,17,17,15,12,15,17,14,15,15,14,14,17,16,17,20,17,20,22,20,18,10,32,12,16,20,18,17,20,18,18,17,16,18,16,13,8
"9",14,7,16,14,14,14,13,16,20,18,12,16,10,14,11,7,26,14,25,26,27,10,14,14,18,13,14,20,14,18,14,23,8,15,18,21,17,19,24,13,17,12,12,17,21,19,8,15,13,15,17,14,16,12,19,12,11,16,14,15,11,9,15,15,16,17,16,14,15,16,14,15,16,14,14,19,16,16,21,17,20,20,19,18,10,32,12,15,21,17,17,18,17,18,15,16,18,15,13,9
"10",16,8,16,15,14,14,13,18,19,18,11,16,10,14,10,7,26,14,26,27,27,11,13,14,20,12,14,18,14,15,14,23,10,14,17,21,19,19,24,13,17,11,12,17,20,19,8,16,13,14,17,14,17,12,20,13,10,17,14,16,11,9,15,16,16,16,15,14,14,18,14,14,16,13,13,19,16,14,18,16,18,19,21,19,10,31,12,15,21,16,19,17,17,18,14,16,19,15,13,9
