"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",17,17,11,15,11,13,22,12,22,14,13,11,13,15,9,17,9,20,14,10,18,15,15,12,16,14,16,11,17,13,11,11,23,19,17,19,19,10,20,17,10,17,15,22,16,17,24,18,15,13,19,21,20,15,12,25,16,15,17,11,10,16,14,16,20,17,17,12,18,22,15,11,18,18,18,19,17,13,17,16,21,16,17,22,17,18,17,24,16,15,8,18,14,16,11,16,12,16,24,26
"2",15,16,11,14,12,11,21,12,22,14,11,11,13,14,9,18,9,20,14,10,16,15,16,11,16,13,16,11,19,13,11,11,24,19,20,18,18,9,21,17,11,15,16,22,16,18,23,18,14,13,21,21,18,15,12,26,13,15,17,11,10,16,14,17,21,17,17,12,18,26,15,10,19,19,16,20,15,14,17,16,21,17,17,22,17,18,16,23,13,15,8,17,15,15,11,16,12,17,23,27
"3",16,16,11,18,13,10,21,12,22,15,11,10,11,14,11,19,9,19,14,10,16,15,16,11,18,12,16,10,20,13,11,10,24,19,20,17,18,9,21,17,12,15,17,21,17,17,22,16,13,16,20,21,19,15,11,27,14,15,17,11,10,17,14,17,21,17,17,13,17,25,15,10,18,19,17,20,14,14,17,17,21,18,17,21,17,18,16,23,12,18,7,19,14,16,10,16,12,18,22,27
"4",15,17,12,21,13,10,20,13,24,16,13,10,11,13,10,20,9,19,14,10,14,15,16,11,19,12,16,9,21,13,11,12,25,18,20,16,19,9,20,17,14,15,17,20,17,17,23,16,13,17,20,21,19,15,9,26,16,13,17,12,10,16,13,17,20,15,17,13,16,26,15,9,18,19,16,19,14,14,16,15,21,18,16,20,18,20,15,23,11,17,7,19,15,17,10,16,11,18,21,26
"5",15,17,12,19,13,10,21,11,25,15,13,11,11,12,9,20,9,19,14,9,15,14,17,11,18,12,17,9,22,13,8,12,25,18,20,16,19,9,20,18,13,15,15,20,16,17,22,18,14,17,20,22,18,15,9,25,16,13,18,12,10,17,12,17,21,15,17,13,16,25,15,7,18,20,17,19,15,13,16,16,21,17,13,21,19,20,15,23,15,17,7,20,13,17,10,15,10,18,22,25
"6",15,18,13,19,14,10,20,12,24,17,14,12,11,12,10,21,8,20,14,10,14,15,17,14,18,12,16,10,23,14,9,14,25,19,20,17,19,9,20,19,13,16,17,21,17,18,21,17,14,17,23,23,18,16,10,25,14,12,17,13,11,18,12,17,21,14,17,14,17,24,14,8,18,21,18,20,14,13,17,16,19,17,14,20,19,21,15,22,16,16,6,20,14,16,10,15,10,20,23,25
"7",15,19,15,18,15,9,21,12,23,17,14,11,12,13,9,22,8,19,16,13,15,16,17,14,18,13,16,12,25,16,9,15,23,19,18,17,19,9,17,19,13,16,18,20,17,17,20,18,14,17,24,23,18,16,10,25,13,13,17,13,11,18,11,16,21,12,16,14,17,25,14,9,18,23,18,19,13,12,16,19,19,15,14,19,19,21,14,22,15,16,7,20,14,15,10,16,10,21,22,27
"8",17,18,15,19,14,9,21,11,24,17,14,12,13,15,9,25,8,20,15,15,15,17,18,15,18,13,15,12,25,16,9,15,22,18,18,18,19,8,18,19,14,16,17,20,17,18,23,16,14,19,25,22,21,16,10,24,14,13,17,14,11,18,12,15,20,15,16,14,17,25,13,9,17,22,18,21,13,12,16,19,20,14,14,19,20,22,15,23,15,15,7,20,14,15,12,17,9,20,22,27
"9",18,19,14,20,13,10,21,12,25,18,14,11,13,15,7,24,10,19,15,14,15,17,20,15,19,13,15,11,25,17,11,15,21,18,17,19,18,8,17,19,13,18,18,19,17,20,22,16,12,18,25,22,20,15,10,24,15,15,17,14,12,18,12,16,20,14,16,13,17,25,11,8,15,22,17,21,13,13,17,20,20,14,14,17,19,20,15,23,16,17,8,20,14,17,12,16,10,20,20,26
"10",20,19,14,21,13,12,19,13,25,20,14,11,13,15,6,22,11,20,15,14,14,17,20,14,18,13,17,11,26,16,10,15,21,18,16,20,17,8,18,19,14,17,17,20,17,20,20,14,12,18,26,20,20,16,10,22,16,15,18,14,12,18,11,16,21,13,16,12,18,25,9,8,14,22,17,21,14,13,15,22,18,13,18,17,20,20,13,23,16,17,7,20,14,18,13,15,12,20,19,26
"11",20,18,16,22,13,13,19,13,22,19,14,11,13,15,6,22,10,21,14,15,14,18,20,14,18,13,17,10,26,16,12,15,21,18,16,21,17,7,19,20,14,14,17,19,18,20,21,15,11,18,26,21,22,19,10,21,18,14,18,15,13,18,11,15,22,13,17,11,18,26,9,9,15,19,17,21,14,11,15,23,17,12,17,18,20,20,12,24,17,17,7,20,17,17,14,16,9,21,19,26
"12",19,17,18,22,14,14,18,13,24,19,15,11,13,17,5,20,9,20,14,14,14,18,20,14,19,12,17,9,24,15,12,15,22,18,16,20,18,7,19,19,12,15,17,21,19,20,20,16,10,18,27,18,22,19,10,24,18,14,19,15,13,17,13,16,21,13,18,10,18,27,10,10,15,19,19,20,14,11,16,23,17,12,16,18,21,21,12,24,17,17,8,20,16,17,13,16,9,22,20,26
"13",19,16,18,21,13,14,20,14,25,18,16,13,11,18,4,20,9,19,13,15,15,16,21,16,19,12,18,10,25,15,12,14,22,18,16,19,19,7,18,19,12,15,17,18,18,20,22,19,12,21,28,16,20,18,10,24,18,14,19,15,14,16,13,17,21,13,17,10,18,26,11,10,14,17,17,20,14,11,16,22,17,13,15,17,20,19,11,24,16,18,8,19,15,17,13,16,9,19,17,25
"14",18,18,17,23,13,12,18,15,25,18,15,13,11,18,5,20,9,21,13,15,14,16,21,16,19,12,17,10,26,15,13,13,21,20,16,20,19,7,18,18,13,14,17,19,18,20,22,23,12,21,28,16,20,19,10,24,19,14,18,14,14,16,14,18,20,12,17,12,20,26,10,11,15,15,17,20,14,9,18,22,18,13,14,17,17,20,11,23,17,17,10,20,15,19,11,18,10,19,15,26
"15",18,18,17,23,13,11,18,15,22,17,15,12,10,18,5,20,9,20,14,14,14,15,22,16,20,14,17,9,27,17,14,13,21,20,17,20,18,7,16,18,13,15,19,18,19,19,24,21,12,21,27,17,20,18,10,23,19,12,18,15,13,16,14,17,21,11,18,12,19,25,11,10,16,14,15,21,14,10,16,22,18,15,14,18,16,20,13,22,17,17,10,18,15,20,10,16,10,19,15,25
