"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",21,17,22,12,20,12,18,15,13,14,11,18,16,9,12,22,17,23,19,18,18,20,15,21,17,16,19,19,11,19,13,18,14,17,17,13,10,22,11,14,15,12,21,19,10,15,16,13,22,10,14,19,13,15,14,15,20,10,24,6,18,13,17,17,22,19,24,14,18,14,17,16,14,14,19,19,14,17,24,16,20,14,17,19,9,19,14,15,22,13,17,15,13,11,20,15,24,22,11,20
"2",21,17,21,12,20,12,18,14,13,13,13,18,17,9,12,21,18,23,18,17,16,17,16,22,18,15,20,18,10,18,14,16,12,18,17,14,11,20,12,14,15,11,22,21,11,15,17,12,22,10,14,20,12,15,14,16,19,11,24,5,17,12,17,17,22,19,23,14,18,15,17,15,14,14,19,18,14,15,26,16,21,14,17,20,9,19,14,15,22,14,15,16,13,11,20,15,22,23,10,19
"3",19,17,22,12,20,14,19,13,13,14,14,17,16,9,13,20,17,24,15,17,16,15,16,22,18,13,21,18,9,18,16,17,12,17,16,12,11,21,13,14,17,10,23,21,11,15,17,12,21,11,14,21,12,15,15,17,19,10,24,5,17,11,17,16,21,19,23,11,16,15,17,17,15,13,18,18,15,16,25,18,20,13,17,19,10,19,14,15,21,13,15,15,13,11,20,17,21,23,12,19
"4",20,17,22,13,20,13,19,15,13,15,15,17,16,10,12,19,17,24,16,17,17,14,16,21,19,14,20,20,10,18,16,18,11,17,17,11,13,19,14,14,18,10,25,20,13,15,17,13,21,12,12,20,10,15,14,16,18,10,22,6,17,11,17,16,22,18,22,11,16,16,18,18,14,13,18,18,16,17,23,17,20,12,18,19,11,17,14,14,21,15,15,16,13,11,17,17,20,22,12,17
"5",18,20,23,13,21,14,20,14,14,18,15,16,17,10,12,21,16,24,16,16,19,15,15,21,20,13,19,20,9,18,16,19,12,17,17,13,13,20,14,14,17,11,27,20,13,15,18,13,19,11,12,19,11,16,14,16,18,12,21,7,17,11,16,17,22,20,21,12,16,16,18,18,14,13,18,18,17,18,24,16,20,12,18,20,11,18,14,14,23,16,16,18,14,12,15,18,20,22,11,18
"6",19,19,25,12,20,15,19,13,14,19,16,15,18,10,12,19,15,24,16,18,19,15,16,21,19,13,19,20,11,19,17,18,12,20,17,13,14,20,15,14,17,10,27,21,13,15,18,11,20,14,13,19,11,17,14,16,18,12,22,7,18,11,15,18,24,20,21,11,17,17,18,18,15,13,18,18,18,17,24,17,22,11,19,19,11,18,15,16,25,15,16,18,14,12,14,17,20,24,11,18
"7",19,19,26,10,21,15,19,13,13,22,16,15,19,11,12,15,15,22,17,18,20,15,17,19,19,12,18,20,11,19,17,18,12,19,14,13,13,21,15,15,18,11,27,18,12,15,18,12,19,15,13,20,12,17,14,16,18,12,23,7,17,11,16,17,24,20,21,11,16,17,19,19,14,13,17,18,18,17,22,18,22,11,19,21,11,19,14,18,26,14,16,17,15,12,15,18,19,24,11,18
"8",19,18,25,10,22,15,19,13,13,22,16,15,20,12,12,15,16,23,18,17,20,14,17,18,19,12,19,20,10,19,16,18,11,20,14,12,12,21,14,15,16,11,26,18,12,15,16,12,19,18,11,20,12,17,13,16,19,12,22,8,17,12,14,18,24,20,20,11,17,17,20,20,16,13,16,17,17,15,24,19,22,11,20,22,11,18,13,18,26,14,16,17,16,12,14,18,20,23,12,17
"9",18,19,24,13,22,16,18,12,12,22,16,15,21,13,12,13,16,24,17,18,21,14,18,18,18,12,20,19,11,21,16,19,11,19,14,12,12,22,13,12,18,11,26,17,10,15,16,13,19,19,12,20,12,17,13,15,20,11,22,8,17,12,12,19,24,20,20,11,17,17,20,19,17,11,16,18,16,15,24,20,22,12,19,22,11,18,17,18,25,14,17,17,16,12,14,18,21,22,13,18
"10",18,20,24,13,22,17,18,12,12,22,16,15,22,14,11,14,17,24,18,17,21,15,20,19,18,12,19,20,10,21,16,19,11,19,14,13,14,21,13,13,19,12,27,17,10,17,17,12,19,19,13,19,12,18,12,14,19,11,21,8,18,12,13,18,25,19,20,11,17,17,20,20,17,11,17,18,16,15,23,19,22,12,20,19,11,20,16,19,24,14,17,15,15,14,13,18,21,22,13,18
"11",19,20,25,13,22,16,19,12,12,22,14,14,22,13,9,14,17,24,17,18,21,14,18,18,17,13,20,18,9,22,17,20,12,19,13,14,12,22,13,13,18,12,27,17,9,17,17,12,18,20,14,18,11,18,13,15,19,11,20,8,18,10,13,18,25,19,21,14,16,17,21,22,16,11,18,18,15,14,23,18,23,13,21,19,12,20,17,16,24,13,17,15,15,14,11,19,21,23,14,19
"12",18,22,24,12,22,17,19,12,13,22,14,14,23,13,10,14,17,22,17,20,22,14,19,18,16,12,19,18,8,20,17,20,13,20,13,13,12,23,13,13,18,14,29,19,9,16,17,13,20,20,14,17,12,18,13,15,18,11,20,8,18,10,14,17,23,19,19,16,17,17,20,22,16,11,19,16,16,13,24,18,24,12,22,18,12,21,17,15,25,13,17,17,14,13,12,19,21,23,14,19
"13",19,20,25,12,21,18,20,12,13,21,14,14,23,13,12,16,16,24,18,19,22,13,18,19,14,16,16,18,8,21,16,19,13,20,14,13,11,23,12,13,18,15,29,15,11,16,16,12,21,20,13,18,13,19,13,14,16,11,23,7,18,10,14,18,23,19,20,17,17,17,21,24,18,12,19,17,17,14,24,18,23,11,20,18,12,21,17,14,23,13,18,16,15,13,13,16,20,22,15,19
"14",18,19,26,12,23,17,21,12,12,21,14,13,23,13,12,17,16,21,17,18,20,13,18,20,11,15,17,20,9,20,15,18,13,20,15,10,11,22,12,12,18,15,29,15,11,17,14,11,19,19,12,19,13,19,14,14,15,11,22,9,17,10,14,17,25,21,20,18,17,17,21,24,17,10,18,16,17,14,23,18,21,11,21,19,11,22,17,14,23,13,17,15,15,15,10,16,18,20,15,18
"15",19,18,25,12,23,18,21,13,12,22,15,12,22,13,12,16,16,21,17,18,19,15,16,19,11,14,17,19,8,20,13,18,14,21,15,10,10,23,12,12,18,16,29,15,10,16,15,12,19,20,12,18,13,18,14,13,12,10,22,10,17,10,13,18,24,21,20,18,17,17,20,24,17,10,19,16,17,13,21,19,21,9,20,18,11,21,17,14,24,13,18,15,15,16,11,16,18,20,15,18
"16",18,18,24,13,23,17,21,13,12,22,15,13,22,13,13,16,16,20,16,16,18,15,19,19,12,15,17,19,8,20,13,15,15,19,15,10,9,24,12,12,18,15,28,15,12,16,15,11,19,21,12,18,13,19,14,14,11,9,23,9,17,12,11,19,24,21,20,19,17,19,20,24,17,10,17,16,18,12,22,19,21,9,20,17,9,22,17,15,23,13,17,16,15,13,12,16,19,19,15,17
"17",18,17,23,13,24,16,19,14,13,23,15,11,22,13,14,16,17,19,15,16,18,16,18,19,12,15,16,15,8,19,14,15,15,19,15,10,9,23,13,12,19,14,27,16,11,17,14,12,16,21,14,16,13,18,15,14,11,9,21,9,17,14,10,19,24,23,22,19,17,20,20,23,17,8,17,14,20,11,23,18,21,10,22,17,9,22,17,16,25,12,16,17,16,12,12,17,18,19,14,17
"18",19,17,24,14,24,17,19,13,13,23,14,10,21,13,12,17,17,20,14,16,18,15,18,19,12,17,17,14,9,19,14,14,14,19,16,9,8,22,13,12,19,14,24,16,11,15,14,12,17,21,15,15,14,16,15,14,12,9,18,7,20,13,9,19,23,25,22,19,18,20,19,23,17,9,19,15,19,10,21,19,21,11,20,17,8,22,17,15,26,12,15,16,16,12,10,16,18,19,14,17
"19",20,19,24,14,23,17,16,14,12,23,11,9,22,15,12,17,16,20,16,16,17,16,17,19,13,17,17,15,9,18,14,14,15,19,14,10,8,21,13,12,19,13,23,15,11,16,13,12,17,20,14,15,15,16,15,14,14,11,17,7,19,13,9,19,23,25,21,19,18,20,17,24,18,11,17,16,17,10,20,20,22,11,20,16,7,21,16,16,25,13,16,17,16,11,11,16,17,18,14,16
"20",21,20,23,13,22,17,16,14,13,24,13,9,22,13,13,16,15,20,14,16,19,16,17,20,13,17,18,17,8,18,14,14,17,19,15,10,9,22,15,14,19,13,22,14,10,14,14,12,15,20,13,15,15,18,14,15,13,10,18,7,20,15,9,19,21,26,21,16,18,17,17,24,20,12,15,16,16,11,17,19,22,11,19,14,7,20,16,15,25,14,16,17,16,11,11,15,18,17,15,16
"21",22,21,24,13,20,16,16,12,12,23,13,9,23,12,14,17,13,20,14,15,19,15,18,19,13,16,19,17,8,17,15,13,15,19,14,10,10,22,16,13,19,13,25,14,10,15,15,12,15,20,14,16,17,20,13,14,14,10,18,6,19,15,9,19,21,25,20,16,17,18,15,23,20,13,15,16,15,12,16,17,22,11,19,14,7,20,17,12,25,16,18,18,15,10,11,16,19,18,16,16
"22",23,21,23,13,22,16,18,12,11,23,10,11,21,11,14,17,13,20,14,15,21,17,18,19,14,16,19,18,9,19,15,12,13,20,14,10,9,22,16,14,19,15,24,15,10,17,14,12,16,21,14,17,16,21,15,13,14,11,18,6,18,17,9,19,21,23,19,15,18,18,15,23,20,12,14,17,15,13,17,17,22,11,18,14,7,19,17,12,26,16,19,18,13,10,11,15,19,18,16,15
"23",24,21,23,13,21,16,19,13,11,23,10,12,22,11,13,17,13,19,13,16,21,16,19,20,15,16,23,19,9,19,15,14,14,21,14,10,10,20,17,14,19,15,25,15,12,19,13,12,16,22,14,17,17,21,16,13,15,11,18,7,19,17,8,20,22,22,19,16,18,18,15,23,18,13,17,17,16,13,18,15,21,11,17,14,6,18,17,13,26,16,18,17,13,10,11,15,18,17,16,15
"24",24,21,23,13,22,17,17,12,12,23,12,12,24,12,12,16,13,18,12,17,19,17,19,20,15,17,20,18,9,19,14,16,16,22,14,10,10,20,18,13,21,16,26,14,12,19,13,16,16,22,14,17,17,21,16,11,16,12,18,7,19,17,8,22,22,22,19,15,19,18,15,21,17,12,16,16,16,12,19,15,20,10,16,15,5,19,16,13,30,16,17,17,13,10,12,15,18,19,17,15
