"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",19,15,20,16,13,11,19,22,13,22,14,18,18,12,14,8,10,25,19,19,13,10,17,21,19,18,18,9,14,13,17,16,15,13,17,15,23,20,10,22,20,19,13,17,21,12,19,15,23,17,15,14,16,19,18,13,11,16,20,14,14,16,13,23,18,13,17,16,13,21,13,20,19,13,15,25,16,15,24,13,21,23,23,19,14,20,16,21,17,17,21,18,13,19,15,17,21,14,17,15
"2",19,15,20,17,15,11,19,22,13,22,15,17,15,13,13,9,9,24,19,20,16,9,14,20,20,19,19,10,15,13,17,16,15,12,17,15,23,20,10,21,19,17,13,17,21,11,20,16,22,16,16,14,16,19,18,13,7,16,20,14,13,16,16,23,18,13,19,18,13,22,14,20,20,12,14,26,17,15,24,13,20,25,22,20,14,19,17,20,16,16,21,18,14,19,14,20,22,13,16,15
"3",19,16,22,17,14,11,19,21,14,21,15,17,17,13,14,9,8,24,18,19,15,12,13,19,19,18,20,10,15,13,16,17,15,13,17,16,22,21,9,22,19,17,13,17,20,11,20,16,23,16,16,14,16,21,18,14,7,16,19,15,13,15,16,22,18,13,19,18,12,22,14,21,20,12,13,26,16,15,23,12,21,25,22,20,13,19,19,20,16,17,22,17,15,19,15,21,20,14,18,12
"4",19,18,21,16,14,10,18,21,14,22,15,16,17,15,12,9,8,25,18,18,16,10,13,18,18,17,20,11,16,12,17,17,13,12,16,16,21,20,10,23,20,16,13,17,20,13,19,15,24,16,16,13,16,22,19,14,7,15,19,16,13,15,17,22,18,13,20,18,12,23,14,20,20,12,14,26,16,16,23,12,21,26,24,21,13,17,19,20,18,17,21,16,15,18,16,21,19,14,19,12
"5",20,20,20,15,14,10,18,21,13,22,15,16,16,14,11,9,7,26,18,19,16,10,13,18,18,16,22,11,15,13,17,15,12,12,16,15,21,20,9,23,20,17,14,17,20,12,20,15,24,16,16,13,16,22,18,14,7,15,19,16,14,13,17,22,19,12,20,19,13,23,15,20,20,12,14,26,16,15,23,13,20,25,24,21,12,16,21,19,15,16,21,17,15,17,16,22,18,14,20,12
"6",20,19,21,13,14,10,17,22,13,21,15,15,15,14,10,10,8,27,19,18,16,10,13,17,16,18,23,11,16,15,18,15,12,12,17,13,20,21,8,21,20,15,14,18,19,11,18,16,23,15,17,13,15,22,19,13,7,15,20,17,12,13,18,21,18,12,19,20,13,20,16,20,19,12,14,26,17,15,21,13,19,24,22,21,13,17,20,20,14,17,19,16,15,17,16,24,18,16,20,11
"7",20,18,22,14,13,10,17,21,12,20,14,14,18,13,11,10,8,26,19,18,15,10,15,17,16,19,23,11,17,16,18,16,12,14,17,12,20,21,7,22,16,15,13,18,19,12,19,16,23,14,18,14,15,21,19,12,7,16,19,17,12,14,17,19,18,11,19,21,13,22,17,22,19,14,14,25,17,16,21,14,19,22,24,19,12,16,19,19,11,17,19,16,15,17,16,23,18,15,20,11
"8",20,19,22,14,14,10,17,20,11,20,15,14,18,14,13,10,9,27,20,18,16,10,16,16,18,17,25,11,17,16,18,16,11,12,17,11,20,20,7,23,16,15,14,19,19,12,19,17,23,15,17,15,15,22,19,13,8,16,18,17,13,15,18,20,17,13,19,20,13,22,18,21,18,14,12,24,17,17,20,15,19,22,25,20,12,15,19,19,11,18,19,17,15,16,16,23,17,16,20,12
"9",19,19,23,14,14,11,15,20,13,21,14,14,19,14,12,10,8,26,20,17,16,9,16,16,19,17,25,12,17,16,17,16,11,11,19,11,21,21,8,24,16,16,14,20,21,12,19,17,24,14,15,16,16,22,18,14,8,16,16,17,14,14,18,19,16,13,19,20,16,22,18,22,18,14,13,24,21,18,21,15,17,22,27,18,12,15,17,17,10,18,17,17,15,15,17,23,17,16,20,14
"10",18,19,23,14,13,11,17,20,14,21,14,12,19,14,13,14,9,24,19,17,16,9,17,16,20,17,27,10,17,17,16,15,14,9,21,12,21,20,10,23,16,15,14,20,21,12,19,17,23,15,16,14,16,22,17,14,10,15,16,16,14,14,17,19,15,12,18,20,18,22,17,22,20,14,14,25,22,19,22,17,18,22,23,19,12,15,18,18,11,18,17,16,14,14,18,23,16,17,20,15
