"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",13,22,18,11,19,13,11,14,21,15,13,27,13,12,9,13,10,19,13,18,23,16,17,21,13,14,19,16,16,21,17,22,17,13,17,17,18,14,13,12,16,17,21,14,10,16,13,27,17,23,13,21,19,16,17,16,16,19,13,12,31,19,23,16,20,15,15,13,16,16,20,21,20,15,22,17,17,20,19,13,21,15,18,16,17,19,10,20,17,13,14,22,15,18,13,12,21,23,22,14
"2",14,22,19,12,21,13,11,14,21,15,13,28,17,12,9,13,10,19,12,18,22,15,17,22,13,15,18,17,17,22,18,22,19,13,19,17,16,14,13,12,15,18,20,17,9,16,13,29,17,21,13,21,19,14,18,16,17,20,15,12,31,17,24,17,19,14,15,14,16,17,19,21,20,15,23,18,17,19,19,13,22,15,18,15,17,19,10,19,17,14,14,20,16,17,14,13,19,22,22,13
"3",14,23,21,12,17,13,11,15,21,15,12,26,18,11,9,13,11,19,12,18,22,15,18,21,13,15,17,17,17,22,17,22,20,14,19,17,15,13,14,12,17,18,20,15,10,17,13,27,17,19,13,20,19,13,19,16,14,20,15,12,28,17,25,20,17,14,15,14,15,17,18,21,21,16,25,20,20,19,19,14,21,14,19,14,16,20,10,19,17,14,13,20,18,17,14,13,20,21,22,14
"4",15,22,21,12,18,13,10,16,22,15,13,24,18,10,9,13,11,20,12,20,20,16,17,19,12,15,17,18,17,22,17,23,18,15,20,16,15,14,14,12,17,18,19,16,12,17,13,27,14,20,14,20,22,13,19,15,14,19,15,13,27,18,24,21,17,13,14,14,18,19,19,21,23,14,25,18,20,18,20,13,21,14,18,13,17,21,10,19,15,14,13,18,19,17,13,13,20,24,23,13
"5",16,24,22,11,18,13,8,16,24,15,13,25,18,10,9,12,12,19,13,20,22,16,17,18,14,15,16,19,18,22,16,24,19,15,20,16,14,14,13,15,17,18,20,15,15,16,11,24,14,21,14,20,23,14,17,17,16,19,16,13,25,18,25,18,18,12,15,15,19,18,20,21,23,15,25,18,20,18,18,13,21,14,18,12,16,20,7,18,16,13,14,17,18,17,14,12,20,26,22,13
"6",17,24,22,12,17,14,8,16,24,14,14,25,18,10,9,13,9,19,13,20,22,16,19,17,14,15,17,19,18,19,16,25,18,13,20,16,15,14,13,14,17,18,17,16,14,17,12,24,13,21,15,18,23,14,17,16,19,17,16,13,25,18,25,17,18,12,16,18,19,17,19,22,22,15,24,17,22,19,16,13,20,14,19,13,16,19,7,17,16,14,15,16,18,17,15,13,20,25,21,12
"7",17,24,20,13,17,14,7,19,25,13,14,25,17,12,9,14,9,20,13,22,20,16,19,19,13,16,19,20,18,20,16,22,18,13,20,17,15,17,14,14,17,17,18,15,16,17,12,23,14,21,15,17,23,15,17,16,20,17,17,13,25,19,26,16,18,13,15,18,18,17,19,22,22,15,23,15,22,18,16,13,20,15,19,14,16,18,7,17,14,14,17,16,17,18,15,13,20,25,20,13
"8",16,24,22,12,17,15,7,19,24,13,13,25,16,14,9,14,11,20,15,21,20,15,19,18,13,16,17,20,17,20,18,22,19,13,19,17,13,17,13,15,18,17,18,15,17,16,13,22,13,22,14,18,22,15,18,17,21,17,19,13,26,18,24,16,19,14,16,18,19,16,21,22,21,15,22,15,21,18,15,11,20,14,16,13,16,19,7,17,14,14,17,15,16,18,16,13,20,24,18,12
"9",16,23,22,12,17,16,8,18,24,12,13,27,16,15,9,14,11,22,16,21,19,17,19,18,12,16,17,18,17,18,20,22,19,13,17,20,13,16,14,12,18,19,17,15,16,16,14,23,13,23,13,18,22,14,18,17,21,17,17,13,26,17,21,17,18,13,14,18,20,15,22,23,22,16,23,15,19,19,14,11,20,15,16,12,16,20,7,17,14,14,20,13,17,18,17,14,20,23,20,12
"10",15,24,21,12,17,15,8,18,23,12,12,27,16,16,10,12,11,23,15,21,18,17,19,17,14,16,16,19,17,17,18,23,18,13,18,20,13,16,14,11,18,19,18,16,16,17,16,23,14,22,14,18,22,13,19,19,20,17,19,12,25,16,19,15,18,13,12,19,20,16,22,23,20,16,23,16,17,18,15,13,20,15,16,13,15,20,7,18,15,14,22,14,18,18,18,13,22,24,20,12
"11",13,26,20,11,17,15,8,18,23,12,12,27,16,16,11,12,11,22,15,21,18,18,18,17,14,17,17,20,16,18,18,24,18,13,18,20,14,17,15,12,18,19,18,16,17,17,16,23,14,21,15,17,23,13,19,20,20,18,18,12,23,15,20,14,19,13,12,18,21,17,21,23,20,16,22,15,18,17,15,12,19,14,15,13,16,19,7,17,15,16,23,14,17,17,17,12,22,24,19,12
"12",15,26,20,12,15,15,8,18,22,11,12,27,16,16,12,12,11,22,15,21,18,18,18,17,14,17,18,20,17,19,19,24,19,13,18,20,15,17,16,12,19,19,18,16,19,15,17,26,14,20,14,18,22,13,19,20,19,19,16,14,23,15,21,13,20,13,11,19,20,17,21,23,19,16,24,14,20,16,15,11,18,15,14,12,16,18,8,16,15,16,21,14,17,17,17,13,20,23,18,14
"13",14,24,19,12,15,14,8,18,22,11,12,29,14,16,13,11,10,22,15,21,17,19,18,17,12,18,19,20,17,17,21,23,18,13,18,20,14,16,16,12,20,21,17,16,21,15,18,26,13,20,12,19,20,13,19,21,18,19,16,14,23,15,21,13,19,13,11,19,21,17,20,22,19,16,24,14,21,17,15,11,17,15,14,12,17,17,9,17,15,15,22,14,18,15,18,15,21,22,18,14
"14",14,23,19,11,15,14,7,18,22,12,10,29,14,17,13,11,9,22,13,19,19,20,18,17,12,18,19,19,16,17,21,24,18,13,19,22,14,17,16,12,21,21,17,17,18,14,19,26,13,21,12,18,19,14,19,20,19,19,16,14,23,16,21,14,18,13,11,19,21,17,19,21,17,17,24,12,21,17,15,11,17,15,14,12,17,18,10,16,15,14,22,14,20,13,16,16,21,21,18,15
"15",13,24,19,11,16,14,6,20,24,12,10,28,16,16,13,11,9,24,13,18,18,19,18,16,15,18,18,17,16,17,22,23,18,13,18,24,16,16,16,13,20,20,17,17,17,14,18,27,14,20,12,19,20,13,19,18,19,19,15,15,24,15,20,14,18,14,11,19,21,16,20,22,18,16,23,12,22,17,15,11,16,14,15,12,16,18,10,16,12,15,21,14,20,14,16,16,18,21,17,16
"16",13,23,18,11,15,13,6,20,24,12,11,28,14,15,13,8,9,24,14,17,18,20,19,16,14,17,17,17,15,17,22,26,18,15,20,23,16,16,17,13,20,20,18,16,15,14,19,27,14,21,12,20,20,13,18,20,18,18,15,16,24,15,20,16,17,17,12,19,21,15,20,21,18,16,23,12,22,18,13,11,17,13,15,12,17,18,9,17,13,15,21,15,20,14,13,18,18,21,17,16
"17",14,22,19,10,15,13,7,22,25,12,12,27,13,16,14,8,10,25,13,17,17,18,20,15,15,17,18,17,16,19,22,26,18,13,20,23,17,15,16,13,19,20,17,16,16,14,17,28,14,21,13,17,20,14,19,20,18,15,15,16,26,16,20,16,16,16,12,20,21,16,19,21,17,17,22,12,21,19,12,12,16,12,15,12,18,17,11,19,15,15,19,16,20,15,13,17,17,25,18,17
"18",15,23,20,9,15,14,8,22,25,12,14,28,13,16,14,9,9,26,11,18,16,16,20,14,16,17,17,17,17,19,24,26,18,12,21,24,16,15,15,12,19,21,17,17,15,15,17,27,13,21,14,18,22,14,19,20,17,16,14,15,26,16,19,16,17,16,11,19,22,17,19,21,18,15,25,12,22,18,13,13,15,11,17,13,19,18,11,19,15,14,21,14,22,15,13,15,17,23,17,17
"19",15,23,19,9,15,14,10,24,25,13,15,28,13,16,14,10,10,26,11,20,16,16,21,14,15,17,17,17,17,17,27,27,18,12,21,24,15,15,15,11,20,20,17,18,13,16,15,26,14,22,14,17,23,14,19,18,17,17,17,15,27,16,19,16,17,17,11,20,24,17,19,22,19,16,24,12,22,19,13,14,15,11,17,12,19,18,12,19,15,16,22,15,22,14,12,14,17,21,17,15
"20",15,23,19,9,15,13,11,25,25,14,13,27,13,15,14,9,9,27,11,19,16,15,21,15,15,16,18,17,17,17,29,27,19,12,22,23,15,17,15,11,19,22,16,20,12,15,15,26,12,23,14,17,24,15,18,18,17,16,19,15,27,16,19,17,17,18,11,19,25,17,19,20,18,16,24,12,23,19,13,14,14,11,17,12,19,17,12,19,15,16,23,16,21,14,12,14,17,20,18,15
"21",13,23,19,8,14,14,10,25,25,14,12,27,16,13,15,9,10,26,13,16,17,13,21,16,15,17,17,16,17,16,30,26,20,14,22,23,14,16,14,12,20,22,17,20,12,15,15,25,12,23,17,18,25,14,18,16,15,16,19,14,29,15,20,17,16,18,10,18,25,16,19,17,17,16,23,14,25,18,12,15,14,12,17,12,19,18,13,19,14,18,23,17,21,15,11,15,18,21,19,14
"22",13,23,20,9,14,14,11,24,24,12,13,27,16,14,15,10,11,26,14,15,15,13,20,16,13,16,17,16,17,14,29,27,18,15,22,23,12,15,16,12,20,22,16,20,13,15,15,25,11,24,18,18,26,13,16,18,13,16,19,14,30,15,21,17,16,18,11,18,24,17,19,17,15,15,20,14,24,18,12,16,14,12,18,10,18,18,12,18,15,20,23,18,23,15,12,16,18,20,18,14
"23",12,23,21,9,14,15,11,25,24,11,12,26,16,13,15,9,11,26,14,14,14,15,20,15,13,15,16,17,15,16,29,26,18,14,22,22,12,15,16,11,23,22,16,18,13,15,17,27,11,23,17,18,26,13,15,18,14,16,20,14,28,15,21,17,17,17,12,17,23,17,19,18,15,15,17,15,24,18,11,18,14,12,20,13,17,18,11,18,15,22,24,19,21,14,15,16,17,22,18,17
"24",15,24,22,9,13,14,12,25,24,11,12,26,16,13,14,9,11,26,14,13,15,12,20,13,14,15,16,18,13,17,29,25,17,13,21,21,11,14,17,12,21,20,15,18,13,14,17,29,11,23,17,18,25,14,16,18,15,16,21,16,29,13,22,19,17,17,13,18,23,17,19,18,15,13,15,15,25,18,11,17,13,12,20,12,17,18,12,18,14,22,21,18,21,14,16,16,17,22,17,18
"25",13,23,22,9,14,13,13,23,21,12,11,25,16,14,14,7,12,24,12,14,14,13,20,14,14,14,17,16,13,20,29,24,16,14,19,22,11,16,16,11,22,19,14,19,14,14,17,26,12,23,15,17,24,16,16,18,14,16,21,17,29,13,23,21,15,16,13,18,24,17,18,18,16,14,17,15,25,18,10,18,13,14,20,13,16,18,12,18,14,22,20,18,20,16,15,16,18,23,17,15
"26",12,24,20,11,15,14,12,23,21,10,11,26,15,13,14,7,11,24,11,13,14,14,23,14,14,15,19,16,13,19,27,23,16,13,19,23,11,17,16,10,22,19,17,19,14,15,18,26,11,23,15,18,22,16,16,17,14,16,22,18,29,12,23,22,16,15,13,17,26,17,19,16,15,13,18,15,23,18,11,17,13,14,21,12,16,21,10,17,14,22,21,18,20,15,15,16,18,23,16,13
"27",12,23,20,11,15,14,12,23,22,10,9,23,13,14,16,7,11,23,11,13,14,15,23,15,14,16,21,16,13,18,27,23,17,13,18,23,11,17,14,10,21,20,16,18,15,14,18,25,10,22,15,18,21,17,16,17,14,16,22,19,29,12,24,22,16,15,12,17,27,17,21,14,15,13,19,14,24,16,11,17,13,13,21,12,16,20,11,17,12,22,20,19,19,15,15,16,19,24,16,15
"28",13,24,19,11,14,14,12,23,21,10,9,23,14,12,17,7,14,23,11,11,14,16,23,15,14,16,22,16,13,19,28,25,16,12,19,22,11,17,14,9,21,20,15,18,16,14,18,24,9,25,14,17,22,19,16,17,13,16,22,19,28,12,25,21,16,16,12,17,27,19,21,14,17,15,19,15,24,15,11,18,13,13,21,12,16,19,11,18,12,22,20,19,19,15,14,15,19,24,16,15
"29",13,23,19,11,13,16,13,22,22,9,8,23,13,12,18,6,14,22,10,11,13,17,23,15,13,18,22,15,13,19,29,26,17,12,20,22,13,16,15,9,19,19,15,18,16,13,18,23,8,24,16,15,23,20,16,15,13,15,23,20,28,12,25,22,16,18,13,17,26,17,21,16,19,18,19,14,23,15,9,19,12,12,21,12,18,21,12,17,11,24,20,18,17,15,15,15,19,24,16,16
"30",14,23,19,11,13,15,14,23,21,8,8,23,14,12,19,8,14,24,10,10,13,17,24,16,11,18,22,15,11,17,32,26,17,11,18,21,11,17,16,9,19,18,14,17,16,13,18,23,9,24,14,14,22,20,16,14,13,13,21,21,28,11,24,22,16,19,13,17,27,16,20,17,19,18,19,14,24,14,10,19,12,13,20,13,19,20,13,16,11,24,20,20,17,15,15,15,19,22,16,15
"31",16,22,19,12,12,15,14,24,23,9,8,23,14,12,16,9,13,25,10,10,14,17,27,17,11,18,22,15,12,18,32,24,17,12,17,20,12,17,17,9,18,20,14,18,14,15,17,23,9,23,14,13,23,21,19,15,13,13,21,22,26,12,24,23,17,20,12,18,28,15,20,17,19,16,20,13,24,14,10,17,11,14,20,13,19,20,14,16,10,27,21,20,17,15,14,14,18,22,16,14
"32",17,22,20,11,13,15,14,24,23,10,8,22,14,12,17,10,12,24,9,11,14,17,28,17,11,17,22,15,11,16,32,26,17,11,18,18,12,17,18,8,18,22,13,18,14,15,17,24,9,24,14,13,23,20,19,15,15,15,20,24,27,12,24,23,16,21,12,17,29,15,21,17,18,15,22,12,24,15,11,17,12,14,21,13,20,20,13,17,10,27,20,20,19,15,14,13,19,22,17,14
"33",16,22,20,10,13,15,14,26,21,10,9,21,13,12,17,10,12,24,10,12,14,17,28,17,11,17,23,15,12,16,32,25,17,12,18,19,12,17,19,8,17,22,12,19,14,16,17,23,8,24,15,12,24,23,19,15,15,15,19,25,29,11,24,24,15,21,12,16,33,17,20,17,16,15,23,10,24,15,10,18,12,12,18,13,18,21,14,15,11,27,22,22,19,15,14,12,21,22,17,15
"34",17,22,20,11,14,16,13,27,18,10,9,19,12,13,18,8,12,25,10,11,14,17,27,20,13,16,23,16,12,15,30,25,18,11,16,20,11,18,19,7,17,22,12,19,15,17,17,21,8,25,14,12,24,24,20,15,16,14,20,24,29,11,24,25,14,22,12,16,33,18,19,18,15,15,23,10,25,16,10,19,11,12,18,13,19,22,14,16,11,27,23,21,20,15,14,13,22,22,18,15
"35",17,21,20,11,15,18,13,28,19,10,10,18,14,13,19,10,15,24,9,11,15,18,26,18,10,17,23,15,12,15,27,26,18,11,17,20,12,18,17,7,18,23,13,19,15,17,20,20,8,25,15,11,24,22,21,16,16,14,20,22,30,11,22,27,15,23,11,19,31,19,18,18,15,18,23,11,25,16,10,17,13,11,18,13,21,20,13,17,9,27,26,20,18,15,15,14,21,23,19,14
"36",17,22,18,12,15,17,13,24,20,10,10,18,14,13,19,10,14,26,12,11,14,18,27,19,10,18,20,15,12,15,26,25,19,11,17,20,14,18,15,7,17,22,13,18,15,18,21,19,7,25,15,13,24,23,22,15,15,15,21,22,30,12,22,27,16,22,12,18,31,19,18,18,15,19,23,11,24,15,10,17,14,12,17,13,20,21,15,17,10,26,26,21,20,16,16,14,20,24,21,14
"37",17,21,18,13,14,16,14,23,22,11,11,17,15,13,20,8,14,26,12,12,14,18,27,19,11,16,20,14,13,16,28,26,19,10,18,20,14,18,15,7,18,22,12,18,16,19,20,18,8,24,14,12,22,23,20,15,15,15,21,20,30,11,22,29,16,21,12,18,27,20,19,17,16,18,24,13,23,15,9,17,15,12,15,13,21,19,16,17,10,25,25,20,21,15,17,14,20,24,20,14
