"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",15,14,14,19,9,11,25,14,14,14,19,12,19,14,14,13,23,8,24,15,10,16,18,15,17,19,15,14,19,8,10,15,8,23,18,14,17,17,15,18,16,20,24,18,18,17,20,27,15,18,11,13,20,17,11,15,16,19,21,14,14,13,13,13,23,11,19,21,28,13,21,14,8,23,20,16,12,22,28,12,15,18,14,8,18,19,10,12,20,17,18,19,22,22,17,9,23,14,22,18
"2",14,13,14,19,9,11,26,14,14,16,20,14,18,13,14,13,21,8,24,15,11,18,18,15,17,19,19,14,19,8,11,15,8,23,19,14,16,20,15,18,16,21,22,17,17,18,19,27,16,19,11,14,19,16,12,15,17,18,18,13,13,13,13,14,24,11,18,19,29,12,21,14,9,20,20,15,13,21,27,12,15,18,14,8,19,18,9,11,20,17,18,19,22,22,17,11,23,13,23,18
"3",13,13,14,19,11,11,24,14,13,16,19,14,18,14,14,13,21,7,19,14,11,17,18,14,18,21,19,14,20,8,10,16,8,25,19,14,17,23,14,20,15,21,23,17,15,18,18,29,16,20,11,15,22,19,12,15,20,18,18,13,13,12,13,14,23,11,17,19,26,12,20,14,9,20,19,15,13,21,26,12,14,19,14,8,18,16,9,11,20,17,18,19,23,22,17,11,23,15,23,19
"4",13,12,14,17,12,11,25,13,12,16,20,14,19,11,14,14,21,8,21,15,12,17,19,12,17,21,19,16,20,7,10,15,9,24,20,14,17,23,14,21,15,21,21,15,14,19,18,28,17,20,12,15,22,21,13,15,19,18,18,13,14,12,13,13,22,10,17,19,24,12,21,14,9,18,20,16,13,22,27,11,14,19,14,9,17,16,8,11,21,17,18,18,24,21,19,11,24,15,24,20
"5",12,12,16,17,12,11,26,15,13,16,20,14,19,11,14,15,20,8,19,15,11,14,18,11,18,22,20,16,20,7,10,14,9,23,20,15,17,23,14,19,15,22,20,15,15,19,18,28,17,22,13,15,22,21,13,14,18,17,19,13,14,12,13,12,21,11,18,20,24,11,22,13,9,18,21,13,14,20,28,14,14,20,14,8,17,16,8,12,21,15,17,18,25,21,18,11,23,14,23,20
"6",12,12,16,17,11,11,25,15,12,17,21,16,19,11,16,15,19,7,18,15,11,14,18,12,16,21,20,17,21,6,9,14,10,26,20,14,17,23,16,21,17,22,20,15,14,19,18,29,17,22,13,13,21,20,12,15,19,18,18,11,14,11,12,13,21,12,18,21,24,9,22,12,10,19,23,13,12,19,31,15,14,21,14,8,16,15,9,13,21,15,18,18,24,22,15,11,21,13,23,20
"7",12,11,17,16,13,11,26,15,12,16,20,14,20,11,18,15,18,7,20,15,12,14,17,11,16,22,20,18,21,6,9,15,10,27,18,14,18,23,15,21,17,20,20,14,13,19,18,28,18,22,13,13,22,20,12,14,18,18,18,11,14,12,14,13,20,12,20,22,25,9,22,12,10,18,21,13,11,17,31,16,14,21,15,8,16,15,9,13,20,16,17,17,24,22,16,12,23,13,24,18
"8",11,11,16,15,13,11,25,16,13,16,18,14,20,11,21,15,20,7,19,13,12,16,17,11,17,22,19,18,21,6,8,14,11,29,17,15,18,23,15,24,16,15,21,14,14,19,15,29,19,24,12,13,21,20,12,14,17,18,17,11,12,14,13,13,21,12,19,22,23,8,21,11,9,19,20,13,11,18,27,16,13,22,14,7,16,14,10,12,21,16,14,17,22,22,15,12,23,13,24,17
"9",11,11,16,14,13,10,25,15,14,16,19,13,20,11,22,18,19,7,17,13,11,15,19,10,16,22,19,18,19,6,8,15,11,26,19,15,20,23,17,22,16,17,21,13,14,19,15,29,21,24,13,14,22,22,13,13,17,19,18,10,12,15,13,12,21,12,19,22,23,8,20,11,10,17,20,13,12,18,26,16,14,23,14,7,16,14,9,13,20,15,15,18,20,21,15,13,25,14,24,15
"10",12,10,17,13,13,10,25,15,14,17,20,13,21,12,22,18,19,7,17,11,12,14,19,11,18,23,20,17,20,5,10,16,10,25,18,16,20,23,17,21,15,17,21,12,14,19,16,32,21,23,13,14,20,23,13,13,18,20,18,9,12,15,15,14,21,12,20,22,23,9,20,10,12,16,21,13,13,18,26,18,14,22,12,7,14,14,9,14,20,14,14,18,20,21,17,15,22,14,26,14
