"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"55",27,19,19,17,16,19,22,26,12,12,19,14,25,18,19,21,27,13,14,14,21,19,16,17,16,30,17,18,11,22,15,16,26,15,11,27,15,12,17,14,22,23,15,16,22,20,22,19,19,15,15,18,21,23,21,32,25,19,23,24,20,24,15,18,18,21,19,24,22,21,30,14,14,16,16,20,18,15,17,20,14,24,24,18,24,11,16,24,27,12,20,23,13,20,18,17,19,31,21,14
"56",26,20,21,16,15,19,22,25,12,13,20,12,22,19,19,21,27,14,13,15,20,19,16,16,18,30,16,20,11,22,15,16,27,15,13,26,15,13,16,14,21,23,16,19,22,22,22,19,20,14,15,19,21,21,21,33,24,18,23,22,19,25,15,18,17,21,19,23,20,22,30,15,15,15,16,20,19,16,17,19,16,24,24,17,23,13,15,25,26,15,19,21,14,20,18,19,19,30,22,14
"57",26,18,21,16,16,20,22,25,12,13,19,11,22,19,20,20,27,14,12,14,20,19,17,16,18,31,17,21,12,21,16,15,28,15,13,28,15,12,16,13,22,20,16,19,20,22,23,21,20,14,13,21,21,20,19,31,23,18,22,23,18,27,15,18,21,21,18,22,21,20,27,16,16,15,16,21,20,16,17,20,15,23,25,16,23,13,15,25,25,15,20,22,17,18,19,21,19,26,22,13
"58",26,18,20,17,17,21,23,24,14,13,19,11,24,20,19,20,25,14,13,14,18,20,18,17,19,32,18,21,12,22,16,16,25,14,15,27,16,12,15,13,23,21,18,21,23,22,24,20,23,15,14,21,20,21,18,30,24,18,21,23,20,29,15,18,23,21,17,23,23,21,27,16,17,15,15,20,19,17,17,18,16,23,27,15,22,14,15,26,23,15,21,20,18,18,17,23,20,27,21,12
"59",25,19,20,18,18,21,23,27,15,13,20,11,25,21,18,22,25,13,13,13,18,21,18,17,19,32,17,22,12,21,15,16,25,16,15,26,17,12,15,11,23,20,19,21,25,21,22,19,23,15,14,20,21,22,19,27,24,18,21,24,19,28,17,18,23,21,17,23,23,21,28,15,18,15,14,22,19,19,19,19,17,23,28,13,23,14,16,27,25,16,22,19,19,19,18,24,19,29,19,15
"60",24,18,20,18,18,22,21,28,15,12,21,10,25,21,17,22,24,13,13,13,18,21,18,15,18,31,19,24,12,18,16,17,23,17,14,26,19,12,17,10,23,19,16,22,24,22,22,19,22,16,15,21,20,23,21,26,24,17,24,25,19,29,15,19,22,21,18,22,24,21,28,15,18,15,16,21,19,17,17,17,16,23,28,14,23,15,15,28,22,19,23,20,18,20,18,25,19,28,19,14
"61",27,19,19,19,19,23,21,28,18,13,20,10,25,22,17,19,22,14,12,13,16,21,18,16,18,32,21,25,13,21,16,16,25,17,14,25,18,11,17,10,24,19,15,21,23,23,22,18,23,16,15,20,20,22,23,27,25,17,23,24,19,29,14,18,22,21,18,22,23,21,29,16,20,15,18,24,19,17,18,19,17,25,30,15,24,17,16,28,22,21,26,22,17,19,17,26,19,28,18,15
"62",27,18,19,21,20,23,23,28,16,15,22,11,26,24,17,21,23,13,13,13,15,21,18,16,18,32,22,25,13,18,16,18,24,19,15,27,19,13,18,11,26,19,14,21,24,22,21,20,22,17,15,21,21,25,23,27,24,19,25,25,19,29,15,19,20,21,19,23,25,23,30,18,20,15,18,24,21,17,18,21,17,24,31,14,24,16,17,27,20,20,27,22,18,19,17,25,19,30,18,16
"63",27,17,21,23,22,24,24,30,16,16,21,13,25,23,17,21,20,13,12,14,18,21,19,19,18,33,22,26,12,18,16,19,23,20,13,26,19,13,17,11,24,20,13,21,25,22,24,20,21,17,17,23,22,24,26,28,24,21,26,27,20,29,15,20,21,20,18,24,25,22,32,13,23,16,19,24,21,15,18,22,15,24,33,14,27,17,18,27,21,20,27,23,18,19,18,25,19,30,18,16
"64",30,18,23,24,21,22,25,30,15,17,23,13,26,22,17,22,19,14,13,15,19,23,19,18,17,36,23,25,12,21,16,21,24,20,14,27,21,14,18,10,23,21,15,22,24,19,25,20,23,18,17,24,21,22,26,27,23,23,27,28,20,29,17,20,19,18,18,27,25,23,32,14,24,17,20,26,21,15,18,22,15,25,33,14,26,18,18,28,19,22,27,25,19,19,20,25,19,29,18,16
