"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",12,22,18,13,21,14,14,21,16,25,12,16,5,18,19,17,14,15,16,23,11,13,20,13,22,24,23,17,13,16,5,11,11,16,20,15,21,23,13,14,24,15,15,21,10,18,21,28,16,16,16,15,8,12,17,21,19,16,19,20,17,16,24,15,13,20,17,26,16,13,17,23,18,19,11,8,12,18,15,19,19,16,8,19,18,23,20,17,23,14,21,19,16,19,18,15,16,15,24,17
"2",13,24,18,14,20,13,14,20,16,26,13,17,5,19,20,17,15,15,18,23,13,13,19,13,20,24,22,17,13,16,6,12,13,17,22,15,22,24,13,14,26,15,14,21,9,19,20,27,16,16,14,15,8,13,17,21,19,18,19,21,18,16,24,15,13,20,18,27,17,13,17,24,18,18,11,7,12,17,14,19,19,15,8,19,18,21,17,17,22,15,21,20,16,16,19,17,16,15,23,15
"3",12,26,18,14,20,12,15,19,16,23,12,16,5,20,19,16,17,16,18,23,13,15,21,13,20,23,20,17,13,16,7,12,12,16,22,15,22,24,13,14,26,14,14,21,9,19,20,24,16,16,15,15,7,11,18,20,20,16,18,21,17,17,23,15,13,19,20,27,18,11,18,24,18,18,11,8,12,19,15,20,21,15,8,19,17,21,17,17,21,17,21,18,16,16,18,16,17,15,23,16
"4",11,28,17,14,22,12,15,20,17,25,13,16,5,21,22,16,16,16,18,23,12,13,21,13,19,22,21,18,13,15,8,12,11,15,22,14,22,25,13,15,23,12,13,21,9,19,21,23,16,15,15,13,6,11,19,20,20,17,17,22,17,16,22,16,15,19,20,25,19,11,17,24,18,16,13,8,11,18,15,20,22,15,10,19,16,19,16,18,21,17,22,18,16,14,17,16,15,15,23,15
"5",11,27,18,14,22,11,15,20,17,25,14,17,5,22,23,17,16,17,19,22,12,13,20,13,16,23,20,19,13,15,8,11,11,14,22,14,23,24,13,16,22,12,14,20,9,20,20,22,15,16,16,13,6,11,20,19,20,18,17,22,18,15,24,18,15,20,22,25,20,12,17,24,18,17,15,8,11,18,15,21,22,15,10,19,15,18,16,19,22,17,21,18,16,14,17,16,15,15,21,14
"6",11,27,20,14,21,11,15,20,17,25,16,16,4,21,22,19,16,16,20,20,12,13,18,12,15,22,20,20,15,15,8,11,12,13,23,13,24,24,11,17,22,12,14,21,9,20,21,21,15,17,16,12,6,11,19,19,20,19,18,24,18,15,24,18,15,19,22,27,21,14,17,22,18,17,16,8,11,18,15,21,22,15,10,20,16,18,17,18,21,19,21,17,16,13,17,15,15,14,21,13
"7",9,26,19,16,20,12,16,20,19,24,15,16,4,20,22,19,17,15,20,20,11,13,17,13,15,22,19,23,14,15,8,13,12,13,21,13,24,23,10,16,22,12,14,20,9,18,22,22,15,17,16,12,6,11,19,20,20,20,18,26,18,16,25,16,18,19,18,26,21,13,18,22,17,15,16,8,11,17,15,20,22,15,9,22,15,18,18,18,22,18,21,18,16,12,18,15,14,15,21,13
"8",9,25,18,16,18,10,17,20,18,24,17,15,4,20,23,19,18,16,19,19,10,13,16,14,16,21,22,23,14,13,6,13,12,14,20,14,23,22,10,17,22,13,13,21,8,15,21,20,15,16,17,12,5,10,19,21,21,19,18,25,18,13,24,16,18,20,17,26,23,13,19,21,18,15,16,8,11,18,15,21,22,15,11,22,15,18,17,16,21,20,22,19,17,13,18,16,13,14,21,13
"9",9,24,17,17,19,10,16,20,18,26,19,16,4,21,23,18,18,16,19,20,10,12,18,16,16,20,20,24,12,13,6,13,11,14,20,14,22,22,11,18,21,14,13,21,6,15,22,20,15,16,18,16,5,10,20,20,22,19,18,24,18,11,23,14,18,20,18,26,22,14,18,22,17,16,15,9,11,19,14,19,22,15,11,22,14,21,16,17,20,19,22,18,15,13,18,18,13,14,20,12
"10",9,22,17,17,19,9,17,22,19,24,20,15,6,22,23,19,19,18,19,19,10,14,18,15,17,22,19,23,14,13,6,13,10,15,19,14,21,22,11,18,22,14,13,22,6,14,22,19,15,15,17,17,6,12,19,20,23,19,19,22,18,11,23,12,21,20,19,25,22,14,19,22,16,19,15,9,12,19,15,19,22,17,12,22,14,20,15,16,21,19,21,20,15,14,18,17,11,14,20,11
