"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",11,6,24,22,14,24,19,17,17,13,17,16,16,19,16,21,25,20,24,16,17,14,20,26,19,12,16,19,9,13,18,20,18,12,21,18,16,15,26,14,18,18,17,21,14,20,19,17,19,19,15,17,15,9,21,10,13,20,17,14,10,16,9,17,19,18,14,21,11,15,16,13,21,21,13,13,20,18,13,16,18,14,14,20,15,12,15,19,15,15,19,24,12,13,26,18,11,20,14,20
"2",12,6,24,21,15,22,19,17,19,14,16,16,15,18,17,21,25,21,26,15,17,16,20,26,19,11,16,20,10,13,19,20,19,10,20,18,16,16,26,14,17,19,17,20,15,19,19,17,20,18,16,19,17,8,21,10,12,21,18,14,10,16,8,18,17,17,14,21,10,14,16,15,22,23,14,13,21,20,12,17,17,14,14,19,14,12,15,20,14,16,18,24,12,13,27,17,10,20,15,21
"3",13,6,24,21,15,21,19,19,19,14,15,16,17,19,16,21,26,23,27,15,17,16,21,25,20,11,16,19,11,11,19,20,20,10,21,15,15,16,26,14,17,19,15,21,16,19,19,17,20,18,16,19,17,8,21,10,13,21,18,17,10,15,10,19,17,18,13,21,10,15,16,15,21,22,14,13,19,20,12,17,17,14,14,21,15,12,16,20,15,17,18,25,13,12,24,19,11,19,15,24
"4",13,7,20,20,14,20,19,19,18,15,16,16,17,19,17,23,25,24,24,16,18,16,21,24,21,11,17,19,11,11,17,19,20,11,21,15,14,18,26,14,18,20,16,23,15,18,19,18,21,18,16,19,18,7,21,9,14,23,19,19,10,14,10,17,16,19,13,21,9,16,15,14,24,22,16,13,19,21,11,15,16,13,14,22,17,12,16,21,15,17,17,25,13,14,24,18,11,20,16,25
"5",14,7,18,19,16,19,17,19,18,15,16,18,16,20,16,22,25,25,24,17,18,16,21,25,21,10,18,17,10,11,16,20,18,10,21,14,14,17,27,14,18,18,16,21,14,18,20,17,21,18,16,18,18,8,20,8,14,24,18,19,10,14,10,18,16,18,14,21,10,16,14,13,23,22,15,11,21,20,12,14,15,12,12,22,17,12,16,20,15,15,17,24,13,15,25,18,11,20,15,26
"6",14,8,18,20,16,19,17,17,17,16,16,17,16,20,17,21,25,26,24,17,17,13,20,24,21,8,21,18,9,11,16,20,18,10,21,14,14,17,26,14,19,18,16,20,13,18,21,17,21,18,16,18,18,7,20,8,14,22,17,19,12,12,10,18,17,19,15,21,9,17,14,13,24,22,14,11,21,20,12,15,16,12,12,22,17,12,16,21,16,16,17,24,13,16,26,18,12,20,16,26
"7",13,9,17,21,16,21,16,16,17,16,18,15,14,20,17,22,26,26,25,17,16,15,19,23,20,8,21,18,8,12,16,21,18,12,21,13,13,16,26,14,18,18,17,20,13,18,20,16,21,19,18,20,18,7,19,8,14,23,17,17,12,14,11,20,17,19,15,22,8,17,14,12,23,21,15,11,21,19,12,16,14,12,12,22,17,11,16,21,16,15,17,24,12,17,25,18,12,20,17,27
"8",14,9,17,21,16,21,16,18,17,15,18,15,14,20,17,21,28,26,25,15,16,14,19,24,20,9,22,18,8,12,16,21,19,11,21,14,14,15,28,13,18,19,18,20,13,19,20,16,21,19,19,18,17,5,18,8,15,21,16,16,12,13,11,18,17,18,15,21,8,17,14,12,23,21,15,10,22,18,12,16,15,12,13,22,18,11,17,21,15,13,15,24,13,16,22,18,12,19,17,28
"9",14,9,17,21,17,21,15,19,17,15,18,16,14,22,16,20,24,25,25,15,15,14,19,24,20,10,22,17,9,11,15,21,20,12,20,15,14,14,27,12,19,19,19,19,14,19,20,15,22,19,21,19,17,5,18,10,15,21,16,16,13,14,11,17,18,18,16,22,8,14,14,12,24,21,16,10,23,19,13,14,15,13,13,22,19,11,19,21,15,13,13,23,12,16,21,18,12,17,17,27
"10",13,10,18,21,17,20,15,20,17,16,16,16,14,21,19,20,23,24,24,16,16,14,19,24,20,10,22,16,8,11,15,23,18,12,20,15,14,14,27,10,19,18,21,20,14,21,21,15,19,19,21,20,16,5,19,11,15,21,16,16,12,14,12,18,18,18,15,22,8,15,14,14,24,22,16,10,22,20,12,14,15,14,13,23,18,11,19,21,16,13,13,23,12,15,21,19,9,16,16,27
"11",10,12,17,21,16,20,15,21,17,16,15,15,14,21,18,20,21,24,23,16,16,15,19,24,22,8,23,16,8,12,14,21,19,12,20,16,15,15,26,10,20,16,22,21,14,21,21,14,19,19,21,19,16,5,20,10,14,20,16,16,12,14,12,17,18,18,17,21,9,15,14,14,24,21,17,11,23,19,12,15,15,15,14,21,19,12,19,20,17,13,13,23,12,15,20,15,11,16,14,26
"12",10,11,16,20,18,21,13,20,17,17,14,15,14,22,16,20,23,24,24,19,14,15,20,22,22,8,21,17,9,14,14,22,19,11,21,15,13,15,26,13,19,15,21,22,13,22,22,15,19,19,23,20,16,5,20,10,14,19,17,16,12,13,15,17,19,18,16,21,10,14,14,15,23,21,18,13,22,19,13,15,13,14,13,20,19,13,19,19,16,13,14,24,13,16,22,15,12,16,14,27
"13",10,10,15,20,17,20,13,20,16,16,14,15,14,18,18,20,24,23,24,21,16,14,19,21,22,8,22,15,9,14,14,22,21,10,21,15,13,16,25,13,20,14,22,22,13,21,22,14,17,18,24,19,16,5,18,11,13,20,15,16,12,13,14,18,18,18,15,21,10,15,15,15,22,22,18,14,22,18,12,15,12,13,12,19,18,15,20,20,16,13,13,24,14,16,22,15,13,15,13,26
"14",11,10,14,20,17,22,13,20,15,15,13,14,14,18,18,20,23,25,21,22,15,13,18,20,22,8,20,15,10,13,15,22,21,10,20,17,13,14,27,12,19,15,21,19,13,22,22,14,18,18,22,18,16,6,17,11,12,20,16,18,12,13,14,18,18,18,14,20,11,15,15,15,23,22,18,14,22,18,12,15,12,15,11,19,19,13,19,21,15,13,14,24,15,15,22,16,13,16,13,26
"15",12,10,13,20,16,21,13,20,15,15,12,13,16,19,17,21,22,25,20,22,18,14,17,19,20,7,20,15,11,13,15,22,21,10,21,17,12,14,27,12,20,14,20,18,14,23,21,13,17,18,22,18,18,6,18,10,12,20,15,18,12,13,14,18,18,19,15,21,11,17,16,14,22,22,18,13,22,19,12,15,12,14,11,17,18,15,18,22,15,14,14,24,16,14,22,16,14,15,13,26
"16",12,9,12,18,15,21,13,20,15,15,12,16,16,21,15,21,23,25,20,22,19,14,18,20,21,8,22,15,10,14,15,21,21,10,21,18,10,15,27,14,21,13,21,17,13,24,21,13,17,17,23,19,17,5,18,11,12,20,14,18,12,11,15,18,20,18,15,19,11,15,15,15,22,22,19,13,23,18,13,14,12,15,11,17,17,17,17,18,16,14,15,26,18,13,23,16,15,17,13,25
